Date,Close,Log_Price,Log_Return
2015-08-07,2.7721199989,1.0196123700371518,
2015-08-08,0.7533249855,-0.28325855664000227,-1.302870926677154
2015-08-09,0.7018970251,-0.3539685736077849,-0.07071001696778262
2015-08-10,0.7084479928,-0.3446786272033832,0.009289946404401672
2015-08-11,1.0678600073,0.06565665263924379,0.410335279842627
2015-08-12,1.2174400091,0.1967503009207765,0.1310936482815327
2015-08-13,1.8276699781,0.6030419195887462,0.4062916186679697
2015-08-14,1.8278700113,0.6031513607114145,0.00010944112266830786
2015-08-15,1.6888999939,0.5240774258299202,-0.07907393488149428
2015-08-16,1.5660300255,0.4485437707564521,-0.07553365507346815
2015-08-17,1.2036099434,0.18532532712214722,-0.26321844363430486
2015-08-18,1.0870499611,0.08346756945633989,-0.10185775766580733
2015-08-19,1.258859992,0.23020654315957131,0.1467389737032314
2015-08-20,1.4649200439,0.3818006634369603,0.15159412027738897
2015-08-21,1.3952900171,0.3331022912283494,-0.048698372208610896
2015-08-22,1.3792300224,0.3215253886718111,-0.011576902556538315
2015-08-23,1.3525899649,0.30202124701244637,-0.019504141659364704
2015-08-24,1.2312699556,0.20804612096672856,-0.09397512604571781
2015-08-25,1.1401900053,0.131194919834073,-0.07685120113265556
2015-08-26,1.1599800587,0.14840281419464812,0.017207894360575127
2015-08-27,1.1476999521,0.13775989796883953,-0.010642916225808596
2015-08-28,1.191380024,0.17511231924294451,0.037352421274104985
2015-08-29,1.1825499535,0.16767308446632936,-0.00743923477661515
2015-08-30,1.3192700148,0.27707856453591295,0.10940548006958359
2015-08-31,1.3582400084,0.30618975019199457,0.029111185656081617
2015-09-01,1.3516099453,0.3012964339990236,-0.0048933161929709534
2015-09-02,1.2947900295,0.25834854262325113,-0.042947891375772485
2015-09-03,1.2649300098,0.23501679242747722,-0.02333175019577391
2015-09-04,1.2744100094,0.24248333378875836,0.007466541361281137
2015-09-05,1.338809967,0.2917811350539435,0.049297801265185126
2015-09-06,1.2958300114,0.2591514252841178,-0.03262970976982571
2015-09-07,1.2466499805,0.2204599380430875,-0.038691487241030276
2015-09-08,1.2424299717,0.21706911659548794,-0.003390821447599557
2015-09-09,1.2065099478,0.1877318512209433,-0.029337265374544647
2015-09-10,1.1657700539,0.15338185913178118,-0.03434999208916212
2015-09-11,0.9829779863,-0.017168553490611946,-0.17055041262239312
2015-09-12,1.0387400389,0.038008477634922856,0.055177031125534806
2015-09-13,0.9360030293,-0.0661365660781583,-0.10414504371308114
2015-09-14,0.8756219745,-0.13282081714308763,-0.06668425106492934
2015-09-15,0.9444100261,-0.057194857456950306,0.07562595968613733
2015-09-16,0.9071750045,-0.09741989874712917,-0.04022504129017886
2015-09-17,0.8742309809,-0.13441065803651403,-0.03699075928938486
2015-09-18,0.8536850214,-0.15819298062759016,-0.023782322591076127
2015-09-19,0.882390976,-0.12512003774971528,0.03307294287787488
2015-09-20,0.938444972,-0.0635310586650234,0.06158897908469188
2015-09-21,0.919046998,-0.08441801756410679,-0.020886958899083388
2015-09-22,0.9017959833,-0.10336696709688911,-0.018948949532782325
2015-09-23,0.8934059739,-0.11271418338398978,-0.009347216287100668
2015-09-24,0.8136100173,-0.2062741220079485,-0.09355993862395873
2015-09-25,0.7362229824,-0.30622224092056366,-0.09994811891261515
2015-09-26,0.7859640121,-0.24084427373346298,0.06537796718710068
2015-09-27,0.7208390236,-0.3273394348638093,-0.0864951611303463
2015-09-28,0.5828859806,-0.5397636853435578,-0.2124242504797485
2015-09-29,0.6611459851,-0.4137806085985149,0.1259830767450429
2015-09-30,0.7386440039,-0.3029392008945271,0.11084140770398782
2015-10-01,0.6902149916,-0.37075214789344607,-0.06781294699891899
2015-10-02,0.6785740256,-0.38776170381608716,-0.017009555922641084
2015-10-03,0.6871709824,-0.3751721350476322,0.012589568768454962
2015-10-04,0.6683790088,-0.4028998879006691,-0.027727752853036913
2015-10-05,0.6286429763,-0.4641917886769595,-0.061291900776290376
2015-10-06,0.6506450176,-0.42979107336188604,0.03440071531507344
2015-10-07,0.6093879938,-0.49530011429838644,-0.0655090409365004
2015-10-08,0.6217160225,-0.47527184596237515,0.02002826833601129
2015-10-09,0.6506279707,-0.42981727370594036,0.04545457225643479
2015-10-10,0.6278570294,-0.4654427986235363,-0.03562552491759596
2015-10-11,0.634962976,-0.4541885873010889,0.011254211322447416
2015-10-12,0.6260300279,-0.46835694114108734,-0.014168353839998427
2015-10-13,0.6076549888,-0.4981480107097265,-0.02979106956863914
2015-10-14,0.5229679942,-0.6482350133481174,-0.15008700263839092
2015-10-15,0.5618780255,-0.5764704891211389,0.07176452422697854
2015-10-16,0.5364949703,-0.6226980919786288,-0.04622760285748995
2015-10-17,0.5471779704,-0.6029811722561322,0.019716919722496562
2015-10-18,0.5177339911,-0.6582936993196812,-0.055312527063548944
2015-10-19,0.4890139997,-0.7153641606737202,-0.05707046135403904
2015-10-20,0.4348289967,-0.8328024362163343,-0.1174382755426141
2015-10-21,0.4473290145,-0.8044609047851959,0.028341531431138378
2015-10-22,0.5677019954,-0.5661586539270116,0.23830225085818435
2015-10-23,0.5396569967,-0.6168215325395718,-0.05066287861256025
2015-10-24,0.5635899901,-0.5734282597611822,0.04339327277838967
2015-10-25,0.6160389781,-0.484445041314104,0.08898321844707818
2015-10-26,0.7313169837,-0.31290828299021933,0.17153675832388465
2015-10-27,0.869641006,-0.13967478927310056,0.17323349371711877
2015-10-28,1.0024800301,0.002476959900428839,0.1421517491735294
2015-10-29,1.2066600323,0.18785623906053284,0.185379279160104
2015-10-30,1.0412199497,0.04039305425052975,-0.1474631848100031
2015-10-31,0.9166269898,-0.08705466178094827,-0.12744771603147803
2015-11-01,1.055670023,0.0541756582328811,0.14123032001382937
2015-11-02,0.9897890091,-0.01026348068846009,-0.06443913892134119
2015-11-03,1.0133600235,0.013271565383418931,0.02353504607187902
2015-11-04,0.8990499973,-0.10641663170766037,-0.1196881970910793
2015-11-05,0.8956369758,-0.11022010904457573,-0.0038034773369153563
2015-11-06,0.9260320067,-0.07684648046245293,0.0333736285821228
2015-11-07,0.9279739857,-0.07475157923972064,0.002094901222732287
2015-11-08,1.0274699926,0.027099462679560763,0.1018510419192814
2015-11-09,0.9992780089,-0.0007222518610932943,-0.027821714540654057
2015-11-10,0.9343479872,-0.06790633284105536,-0.06718408097996206
2015-11-11,0.79182899,-0.23340983219933306,-0.16550349935827768
