Asset,Model,Horizon,Samples,MAE,RMSE,R2,Directional_Accuracy,Baseline_MAE,Baseline_RMSE,MAE_Improvement_vs_Baseline,RMSE_Improvement_vs_Baseline
ETHUSD,ARIMA,30D,778,0.16370345870660954,0.21602968723632052,0.0001412980994250912,0.5025706940874036,0.16371508320997383,0.21605122538438956,1.1624503364282557e-05,2.1538148069044638e-05
ETHUSD,ARIMA,3M,716,0.3459620905868796,0.41944765960403,-0.0009880157014992008,0.4972067039106145,0.34596175535953877,0.41945038754379904,-3.352273408308015e-07,2.7279397690205265e-06
ETHUSD,ARIMA,6M,627,0.39222695393273976,0.5332243593291617,-0.00018281102237982516,0.48165869218500795,0.39219649823888114,0.533180282011901,-3.0455693858622013e-05,-4.4077317260637905e-05
