Asset,Model,Horizon,Split_Date,Train_Samples,Test_Samples,MAE_%,RMSE_%,R2,Directional_Accuracy_%,Baseline_MAE_%,Baseline_RMSE_%,MAE_Improvement_pp,RMSE_Improvement_pp,MAE,RMSE,Directional_Accuracy,Baseline_MAE,Baseline_RMSE,MAE_Improvement_vs_Baseline,RMSE_Improvement_vs_Baseline,Status
BTCUSD,Random Forest,30D,2023-05-29,3246.0,818.0,15.09,19.88,-0.81,49.51,11.18,15.18,-3.91,-4.7,,,,,,,,
BTCUSD,Random Forest,3M,2023-04-10,3169.0,809.0,52.78,65.88,-4.504,54.64,22.99,29.88,-29.79,-36.0,,,,,,,,
BTCUSD,Random Forest,6M,2023-01-27,3052.0,796.0,121.95,155.88,-11.337,68.34,38.47,50.57,-83.48,-105.32,,,,,,,,
BTCUSD,Random Forest,1Y,2022-09-02,2819.0,770.0,465.83,736.21,-119.743,74.55,81.08,95.78,-384.75,-640.43,,,,,,,,
BTCUSD,Random Forest,3Y,2021-01-29,1890.0,667.0,3130.53,9421.32,-3604.55,99.4,184.69,242.31,-2945.84,-9179.01,,,,,,,,
BTCUSD,Random Forest,5Y,2019-06-24,958.0,563.0,24190.84,30078.05,-4866.894,100.0,611.76,748.4,-23579.08,-29329.65,,,,,,,,
BTCUSD,Random Forest,10Y,,,,,,,,,,,,,,,,,,,Insufficient historical data
