Asset,Model,Horizon,Split_Date,Train_Samples,Test_Samples,MAE,RMSE,R2,Directional_Accuracy,Baseline_MAE,Baseline_RMSE,MAE_Improvement_vs_Baseline,RMSE_Improvement_vs_Baseline,Status
BTCUSD,Random Forest,30D,2023-05-29,3246.0,818.0,0.15085554594452943,0.1988413727147421,-0.8104396390561757,0.49511002444987773,0.11178009990702292,0.15182397533764166,-0.03907544603750651,-0.04701739737710042,
BTCUSD,Random Forest,3M,2023-04-10,3169.0,809.0,0.5278102094465398,0.6588076994531812,-4.504316045976948,0.546353522867738,0.2298672635414757,0.2987857787477171,-0.2979429459050641,-0.36002192070546407,
BTCUSD,Random Forest,6M,2023-01-27,3052.0,796.0,1.2195292731966474,1.5588472663421729,-11.337381751910986,0.6834170854271356,0.3847167683957587,0.5056540847422298,-0.8348125048008888,-1.053193181599943,
BTCUSD,Random Forest,1Y,2022-09-02,2819.0,770.0,4.658336106515617,7.362065204625966,-119.7428901453135,0.7454545454545455,0.8108055988119978,0.9577756113824205,-3.8475305077036195,-6.404289593243545,
BTCUSD,Random Forest,3Y,2021-01-29,1890.0,667.0,31.305313551580785,94.21317306620568,-3604.5496261152703,0.9940029985007496,1.8468797259481269,2.4231084929685087,-29.458433825632657,-91.79006457323717,
BTCUSD,Random Forest,5Y,2019-06-24,958.0,563.0,241.9084440194481,300.78048022835503,-4866.893737992662,1.0,6.117602632672795,7.483974577524612,-235.7908413867753,-293.2965056508304,
BTCUSD,Random Forest,10Y,,,,,,,,,,,,Insufficient historical data
