Asset,Model,Horizon,Samples,MAE,RMSE,R2,Directional_Accuracy,Baseline_MAE,Baseline_RMSE,MAE_Improvement_vs_Baseline,RMSE_Improvement_vs_Baseline
TSLA,ARIMA,30D,791,0.12343431082702823,0.1663124876125221,-0.01818872605271915,0.42098609355246525,0.12343431082702823,0.1663124876125221,0.0,0.0
TSLA,ARIMA,3M,746,0.22027852550935192,0.2980185146838079,-0.06424661894731898,0.4075067024128686,0.22034066733548704,0.29805201644209967,6.214182613512031e-05,3.350175829175406e-05
TSLA,ARIMA,6M,684,0.31198072218117984,0.4206811531255729,-0.1318950173066784,0.40058479532163743,0.31197964046283283,0.4207046607194849,-1.081718347006877e-06,2.350759391200885e-05
