Asset,Model,Horizon,Split_Date,Train_Samples,Test_Samples,MAE,RMSE,R2,Directional_Accuracy,Baseline_MAE,Baseline_RMSE,MAE_Improvement_vs_Baseline,RMSE_Improvement_vs_Baseline,Status
GOOGL,Random Forest,30D,2022-03-17,4344.0,1092.0,0.07246608668803735,0.09129992061466646,-0.03226659563659262,0.5769230769230769,0.07349585809413645,0.09249067975090391,0.0010297714060990976,0.0011907591362374514,
GOOGL,Random Forest,3M,2022-01-28,4269.0,1083.0,0.14499244057837998,0.18053389561797084,-0.15917253406856613,0.58264081255771,0.14687096397186553,0.18236488945790563,0.0018785233934855428,0.0018309938399347914,
GOOGL,Random Forest,6M,2021-11-17,4154.0,1071.0,0.21458736085217744,0.2823738962060883,-0.11951129831392415,0.676937441643324,0.23015258752013562,0.3040917593960569,0.015565226667958176,0.0217178631899686,
GOOGL,Random Forest,1Y,2021-06-25,3930.0,1046.0,0.3423845641398558,0.4319061818797935,-0.11433656842035012,0.7122370936902486,0.4049829966414118,0.5036159535374669,0.062598432501556,0.0717097716576734,
GOOGL,Random Forest,3Y,2019-11-21,3027.0,946.0,0.5397873102780616,0.8006289424835091,-0.1808391233371145,1.0,0.8797963257355582,1.147554604170382,0.3400090154574966,0.3469256616868728,
GOOGL,Random Forest,5Y,2018-04-19,2121.0,845.0,0.5391200339912458,0.6697855494795868,-1.5451748694839607,1.0,1.7315923739481272,1.781760986299615,1.1924723399568813,1.1119754368200283,
GOOGL,Random Forest,10Y,,,,,,,,,,,,Insufficient historical data
