Asset,Model,Horizon,Samples,MAE,RMSE,R2,Directional_Accuracy,Baseline_MAE,Baseline_RMSE,MAE_Improvement_vs_Baseline,RMSE_Improvement_vs_Baseline
BTCUSD,ARIMA,30D,812,0.11703849656440779,0.15213303543229198,-0.05574060484458854,0.47044334975369456,0.1116358373831909,0.15193762638672054,-0.005402659181216893,-0.000195409045571443
BTCUSD,ARIMA,3M,768,0.24309917018886507,0.30632460225178,-0.13697173041829402,0.4947916666666667,0.24016900274013228,0.3064736158130927,-0.0029301674487327845,0.00014901356131269416
BTCUSD,ARIMA,6M,705,0.40277199007193065,0.5283359607939505,-0.2808260229401185,0.5347517730496454,0.408640691330939,0.529929372952773,0.0058687012590083465,0.0015934121588224714
