Asset,Model,Horizon,Split_Date,Train_Samples,Test_Samples,MAE,RMSE,R2,Directional_Accuracy,Baseline_MAE,Baseline_RMSE,MAE_Improvement_vs_Baseline,RMSE_Improvement_vs_Baseline,Status
ETHUSD,Random Forest,30D,2024-05-28,3127.0,790.0,0.20221277626780454,0.2493753901888736,-0.34259278675022875,0.48860759493670886,0.16340388275110043,0.21522012389322287,-0.03880889351670411,-0.034155266295650744,
ETHUSD,Random Forest,3M,2024-04-09,3017.0,777.0,0.7061501202045961,0.9461089009788891,-4.401549184312923,0.416988416988417,0.3326690305042171,0.40708722648540846,-0.373481089700379,-0.5390216744934806,
ETHUSD,Random Forest,6M,2024-01-28,2852.0,760.0,2.200684438610832,2.968796968900907,-35.29189548564894,0.3473684210526316,0.35613010379659166,0.4932121091051278,-1.8445543348142404,-2.475584859795779,
ETHUSD,Random Forest,1Y,2023-09-03,2524.0,723.0,9.653866489755716,13.275920726783061,-977.6616061240837,0.47994467496542187,0.37093336496185647,0.43148317707334893,-9.282933124793859,-12.844437549709713,
ETHUSD,Random Forest,3Y,2022-01-26,1208.0,577.0,27.913888408259073,39.38872389279065,-2431.6071919695923,0.7642980935875217,0.7486550490792911,1.0242676218299296,-27.16523335917978,-38.36445627096072,
ETHUSD,Random Forest,5Y,,,,,,,,,,,,Insufficient historical data
ETHUSD,Random Forest,10Y,,,,,,,,,,,,Insufficient historical data
