Asset,Model,Horizon,Split_Date,Train_Samples,Test_Samples,MAE_%,RMSE_%,R2,Directional_Accuracy_%,Baseline_MAE_%,Baseline_RMSE_%,MAE_Improvement_pp,RMSE_Improvement_pp,Status
ETHUSD,Random Forest,30D,2024-05-28,3127.0,790.0,20.22,24.94,-0.343,48.86,16.34,21.52,-3.88,-3.42,
ETHUSD,Random Forest,3M,2024-04-09,3017.0,777.0,70.62,94.61,-4.402,41.7,33.27,40.71,-37.35,-53.9,
ETHUSD,Random Forest,6M,2024-01-28,2852.0,760.0,220.07,296.88,-35.292,34.74,35.61,49.32,-184.46,-247.56,
ETHUSD,Random Forest,1Y,2023-09-03,2524.0,723.0,965.39,1327.59,-977.662,47.99,37.09,43.15,-928.29,-1284.44,
ETHUSD,Random Forest,3Y,2022-01-26,1208.0,577.0,2791.39,3938.87,-2431.607,76.43,74.87,102.43,-2716.52,-3836.45,
ETHUSD,Random Forest,5Y,,,,,,,,,,,,Insufficient historical data
ETHUSD,Random Forest,10Y,,,,,,,,,,,,Insufficient historical data
