P10_Price,P25_Price,Median_Price,Mean_Price,P75_Price,P90_Price,P10_Return,Median_Return,P90_Return,Probability_Above_Current,Asset,Asset_Class,Horizon,Steps,Current_Price,Mu_Daily,Sigma_Daily,Annualized_Log_Return,Annualized_Volatility,Lookback_Years,Historical_Observations,N_Simulations
284.0843722369522,316.05286732225227,353.2499867583891,358.4811106378972,394.76048628423416,438.6948631449583,-0.1889097152406789,0.00856527268633589,0.2525192381012371,0.5235,TSLA,equity,30D,21,350.25,0.0005111858689480201,0.03656057179708167,0.12881883897490107,0.5803810845923996,3,751,10000
250.613792920221,298.5904400819678,362.93019293949544,379.94512146988507,443.153253025399,532.2386273160637,-0.28447168331128914,0.036203263210550896,0.5195963663556422,0.5521,TSLA,equity,3M,63,350.25,0.0005111858689480201,0.03656057179708167,0.12881883897490107,0.5803810845923996,3,751,10000
219.67171521948552,282.720547261753,373.33236767801054,406.5823780646388,493.65324604498954,634.8489251983278,-0.3728145175746309,0.06590254868810996,0.8125593867189946,0.5651,TSLA,equity,6M,126,350.25,0.0005111858689480201,0.03656057179708167,0.12881883897490107,0.5803810845923996,3,751,10000
188.88684703336006,269.30049876536754,395.97377448782765,470.0190005990673,584.2687056288913,841.1587620793247,-0.4607085024029691,0.1305461084591797,1.4015953235669514,0.5868,TSLA,equity,1Y,252,350.25,0.0005111858689480201,0.03656057179708167,0.12881883897490107,0.5803810845923996,3,751,10000
317.6980788045468,336.0124267125617,356.2480657797659,357.74118993637427,377.6699478430806,399.20783151585584,-0.08433802511947541,0.02676984603345045,0.1505874784293748,0.6231,GOOGL,equity,30D,21,346.96,0.001313203879287998,0.01921541351769006,0.3309273775805755,0.30503523304246044,3,751,10000
310.7804030333428,340.7491598069013,377.5513387546192,382.71447599135627,419.33372569171286,461.7115821092997,-0.1042759884904807,0.08816964132643323,0.33073432703856276,0.7122,GOOGL,equity,3M,63,346.96,0.001313203879287998,0.01921541351769006,0.3309273775805755,0.30503523304246044,3,751,10000
309.7087494716723,353.6290666566738,409.2656282205227,419.04161409923415,473.9927202470464,540.9911585844495,-0.10736468333043481,0.17957582493809854,0.5592320687815586,0.7772,GOOGL,equity,6M,126,346.96,0.001313203879287998,0.01921541351769006,0.3309273775805755,0.30503523304246044,3,751,10000
326.3234275491155,393.1930330450087,481.5072895568636,505.0212769570561,590.7411006271742,715.447699971236,-0.05947824663040269,0.3877890522160008,1.0620466335348056,0.8616,GOOGL,equity,1Y,252,346.96,0.001313203879287998,0.01921541351769006,0.3309273775805755,0.30503523304246044,3,751,10000
66434.57683177397,73434.19088921616,81524.96123685331,82591.63112169976,90493.27137793788,99923.17638459028,-0.15125830948417263,0.041530430676433916,0.2765786987869603,0.6083,BTCUSD,crypto,30D,30,78274.2,0.0014254510658354696,0.028733953936224074,0.5202896390299464,0.5489614191501094,3,774,10000
62965.743003314215,74455.97830614593,89566.4720859428,93222.16096067637,108108.40194623465,128239.9046913891,-0.1955747487254521,0.14426557008494245,0.6383419401461672,0.6925,BTCUSD,crypto,3M,91,78274.2,0.0014254510658354696,0.028733953936224074,0.5202896390299464,0.5489614191501094,3,774,10000
60986.21924685167,77802.63761196758,100631.47137374111,108861.97749801722,130907.93995258232,166815.24438541912,-0.22086435572830287,0.28562759343105526,1.131165114244785,0.7442,BTCUSD,crypto,6M,182,78274.2,0.0014254510658354696,0.028733953936224074,0.5202896390299464,0.5489614191501094,3,774,10000
65543.74029548801,91181.69588549301,131914.73398307653,154096.5887717971,191956.7118308001,267384.22724581516,-0.16263928222213686,0.6852900953708443,2.415994379320583,0.8287,BTCUSD,crypto,1Y,365,78274.2,0.0014254510658354696,0.028733953936224074,0.5202896390299464,0.5489614191501094,3,774,10000
1924.6329804528095,2171.6598689216707,2463.268950612024,2509.958530981887,2793.518644977424,3148.095688313155,-0.21223603830989457,0.008230933871776536,0.28853467460671345,0.5191,ETHUSD,crypto,30D,30,2443.1594666042,0.00035651414124181994,0.03463854401674975,0.13012766155326427,0.6617684542452239,3,1096,10000
1660.3283794840158,2032.1139339903546,2539.1234459218385,2689.3740211643158,3185.586063285664,3913.7503289933147,-0.320417515852233,0.039278639249455516,0.6019217666676178,0.5483,ETHUSD,crypto,3M,91,2443.1594666042,0.00035651414124181994,0.03463854401674975,0.13012766155326427,0.6617684542452239,3,1096,10000
1411.3965477655183,1892.9755420685117,2581.344991955366,2892.112182769593,3544.4755217681814,4747.37777851746,-0.42230682562557054,0.05656017433165461,0.9431305419928,0.5483,ETHUSD,crypto,6M,182,2443.1594666042,0.00035651414124181994,0.03463854401674975,0.13012766155326427,0.6617684542452239,3,1096,10000
1199.9017517023142,1786.4250718041487,2788.2285488452894,3492.9116383326173,4382.43036003083,6534.681764681063,-0.5088729294571658,0.14123886997876078,1.674684912714174,0.5845,ETHUSD,crypto,1Y,365,2443.1594666042,0.00035651414124181994,0.03463854401674975,0.13012766155326427,0.6617684542452239,3,1096,10000
