Asset,Model,Horizon,Samples,MAE,RMSE,R2,Directional_Accuracy,Baseline_MAE,Baseline_RMSE,MAE_Improvement_vs_Baseline,RMSE_Improvement_vs_Baseline
GOOGL,ARIMA,30D,1086,0.07340424992067998,0.09246586060343555,-0.06302082161712064,0.43554327808471455,0.07340424992068001,0.09246586060343555,2.7755575615628914e-17,0.0
GOOGL,ARIMA,3M,1044,0.1464853872446859,0.1830792140874157,-0.23942626113741206,0.4224137931034483,0.14637776563627583,0.18302861803415574,-0.00010762160841007451,-5.0596053259965856e-05
GOOGL,ARIMA,6M,983,0.2334694929330538,0.3117509353626099,-0.46865249942426335,0.4404883011190234,0.23346949293305383,0.31175093536260995,2.7755575615628914e-17,5.551115123125783e-17
